revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
24,124,124,68.662696,11.092219,49.727218,7.759174,0.973378,138.214685,1,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22767812770568,22767881433264,22767892525483,22767942252701,22767950011875,22767950985253
25,126,126,32.06626,3.148284,101.469656,10.369769,0.993268,148.047237,2,DUPLICATE,True,22767913499524,22767945565784,22767948714068,22768050183724,22768060553493,22768061546761
26,128,128,49.620476,6.291107,75.423537,29.454794,9.501484,170.291398,1,DUPLICATE,True,22767995186260,22768044806736,22768051097843,22768126521380,22768155976174,22768165477658
27,129,129,59.451751,1.164843,27.561945,7.979083,0.515301,96.672923,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22768104258486,22768163710237,22768164875080,22768192437025,22768200416108,22768200931409
28,133,133,59.82029,0.745821,38.3752,47.957925,3.941384,150.84062,1,DUPLICATE|DUPLICATE|DUPLICATE,True,22768223530527,22768283350817,22768284096638,22768322471838,22768370429763,22768374371147
29,134,134,48.02625,8.879276,29.715,8.566384,1.058361,96.245271,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22768331377067,22768379403317,22768388282593,22768417997593,22768426563977,22768427622338
30,138,138,49.434586,33.004804,106.436899,37.888752,1.209509,227.97455,2,DUPLICATE|DUPLICATE,True,22768428837903,22768478272489,22768511277293,22768617714192,22768655602944,22768656812453
31,,,,,,,,,0,DUPLICATE|DUPLICATE,False,,,,,,
32,140,140,15.643599,15.367106,31.460847,38.991761,16.563467,118.02678,2,DUPLICATE|DUPLICATE,True,22768638812928,22768654456527,22768669823633,22768701284480,22768740276241,22768756839708
33,142,142,40.21803,16.867859,62.891435,26.747587,16.507819,163.23273,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22768694674556,22768734892586,22768751760445,22768814651880,22768841399467,22768857907286
34,145,145,67.232832,27.872467,57.147444,52.719075,3.277508,208.249326,1,,True,22768802125417,22768869358249,22768897230716,22768954378160,22769007097235,22769010374743
35,146,146,39.43282,2.391408,55.944602,38.654794,5.987882,142.411506,2,DUPLICATE|DUPLICATE,True,22768908791068,22768948223888,22768950615296,22769006559898,22769045214692,22769051202574
36,148,148,56.100029,24.146751,30.357079,38.670573,11.277147,160.551579,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22769004323916,22769060423945,22769084570696,22769114927775,22769153598348,22769164875495
37,150,150,50.393695,28.477157,47.140993,9.871524,1.445716,137.329085,1,DUPLICATE,True,22769110817640,22769161211335,22769189688492,22769236829485,22769246701009,22769248146725
38,152,152,42.098527,5.707472,48.76782,23.059854,1.106398,120.740071,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE,True,22769203309861,22769245408388,22769251115860,22769299883680,22769322943534,22769324049932
39,154,154,58.439047,57.63067,62.768027,4.305961,7.423764,190.567469,1,DUPLICATE,True,22769303847435,22769362286482,22769419917152,22769482685179,22769486991140,22769494414904
40,156,156,61.848279,33.988034,110.989751,11.701354,1.42403,219.951448,2,DUPLICATE,True,22769424134760,22769485983039,22769519971073,22769630960824,22769642662178,22769644086208
41,,,,,,,,,0,DUPLICATE,False,,,,,,
42,157,157,5.832214,19.937624,30.03341,9.293705,1.643013,66.739966,3,DUPLICATE,True,22769635411971,22769641244185,22769661181809,22769691215219,22769700508924,22769702151937
43,159,159,55.360226,7.795841,56.899127,5.618805,2.342704,128.016703,2,DUPLICATE|DUPLICATE,True,22769696604411,22769751964637,22769759760478,22769816659605,22769822278410,22769824621114
44,162,162,65.984905,2.787189,100.321831,1.986016,1.687384,172.767325,2,DUPLICATE,True,22769817949541,22769883934446,22769886721635,22769987043466,22769989029482,22769990716866
45,164,164,43.364546,14.505247,92.410656,12.473008,6.578091,169.331548,1,DUPLICATE|DUPLICATE,True,22769927298991,22769970663537,22769985168784,22770077579440,22770090052448,22770096630539
46,165,165,57.757348,5.167356,55.307615,17.390029,3.139359,138.761707,1,,True,22770028420884,22770086178232,22770091345588,22770146653203,22770164043232,22770167182591
47,166,166,31.699238,8.154121,13.095032,55.83536,5.600304,114.384055,3,DUPLICATE|DUPLICATE|DUPLICATE,True,22770117877470,22770149576708,22770157730829,22770170825861,22770226661221,22770232261525
48,,,69.443618,51.608232,,,,,0,DUPLICATE,False,22770219020325,22770288463943,22770340072175,,,
49,170,170,32.295076,36.759057,54.695165,17.486438,1.492567,142.728303,1,DUPLICATE|DUPLICATE|DUPLICATE,True,22770320759019,22770353054095,22770389813152,22770444508317,22770461994755,22770463487322
50,172,172,48.97461,9.501595,72.41966,9.188778,2.748671,142.833314,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE,True,22770402028704,22770451003314,22770460504909,22770532924569,22770542113347,22770544862018
51,175,175,46.000085,22.056771,128.076703,51.534177,4.440239,252.107975,1,,True,22770497003399,22770543003484,22770565060255,22770693136958,22770744671135,22770749111374
52,176,176,68.252571,1.764125,64.354928,59.040756,4.713075,198.125455,1,DUPLICATE|DUPLICATE,True,22770611256055,22770679508626,22770681272751,22770745627679,22770804668435,22770809381510
53,177,177,34.920431,8.950684,45.765611,42.062563,3.37149,135.070779,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22770714429056,22770749349487,22770758300171,22770804065782,22770846128345,22770849499835
54,180,180,45.097504,25.820301,121.515743,3.669752,2.069683,198.172983,2,DUPLICATE,True,22770794446991,22770839544495,22770865364796,22770986880539,22770990550291,22770992619974
55,,,66.838865,16.67532,58.250749,,,,1,DUPLICATE|DUPLICATE,False,22770906383360,22770973222225,22770989897545,22771048148294,,
56,182,182,37.330154,24.342086,8.602643,5.893085,1.961997,78.129965,2,DUPLICATE,True,22771010552379,22771047882533,22771072224619,22771080827262,22771086720347,22771088682344
57,184,184,57.515586,2.272185,10.884699,71.397041,0.959674,143.029185,1,DUPLICATE|DUPLICATE,True,22771105398118,22771162913704,22771165185889,22771176070588,22771247467629,22771248427303
58,187,187,33.135222,8.871257,102.41955,42.981903,1.967146,189.375078,2,DUPLICATE|STALE|DUPLICATE|DUPLICATE|DUPLICATE,True,22771196048926,22771229184148,22771238055405,22771340474955,22771383456858,22771385424004
59,190,190,63.583524,45.681703,89.858449,30.593377,5.36921,235.086263,1,DUPLICATE|DUPLICATE,True,22771292767671,22771356351195,22771402032898,22771491891347,22771522484724,22771527853934
60,191,191,70.009992,16.122464,71.452355,21.328062,5.826251,184.739124,1,DUPLICATE|DUPLICATE|STALE,True,22771426361187,22771496371179,22771512493643,22771583945998,22771605274060,22771611100311
61,192,192,51.073228,4.151033,77.074605,9.903414,0.877081,143.079361,1,DUPLICATE,True,22771547444407,22771598517635,22771602668668,22771679743273,22771689646687,22771690523768
62,194,194,41.96583,10.934977,53.945918,33.227806,6.483275,146.557806,1,DUPLICATE|DUPLICATE,True,22771640483465,22771682449295,22771693384272,22771747330190,22771780557996,22771787041271
63,195,195,33.277316,8.52655,39.638673,28.427545,3.824253,113.694337,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE,True,22771715726610,22771749003926,22771757530476,22771797169149,22771825596694,22771829420947
64,198,198,41.630568,14.962455,108.853658,6.176087,3.896957,175.519725,1,,True,22771790634494,22771832265062,22771847227517,22771956081175,22771962257262,22771966154219
65,199,199,62.046234,1.220121,31.032807,34.677669,3.345527,132.322358,2,DUPLICATE|DUPLICATE,True,22771894311295,22771956357529,22771957577650,22771988610457,22772023288126,22772026633653
66,201,201,36.956392,4.758316,113.546511,1.69244,5.641879,162.595538,2,DUPLICATE|DUPLICATE,True,22771993313920,22772030270312,22772035028628,22772148575139,22772150267579,22772155909458
67,203,203,52.635546,16.059686,36.92402,35.952476,5.074615,146.646343,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22772082905858,22772135541404,22772151601090,22772188525110,22772224477586,22772229552201
68,207,207,50.648317,29.537294,78.071372,20.717779,5.874547,184.849309,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22772186189721,22772236838038,22772266375332,22772344446704,22772365164483,22772371039030
69,210,210,68.589518,2.136832,124.936139,56.63044,1.339659,253.632588,1,DUPLICATE|DUPLICATE|DUPLICATE,True,22772305427555,22772374017073,22772376153905,22772501090044,22772557720484,22772559060143
70,212,212,64.291835,8.59644,120.339806,17.32627,3.935568,214.489919,1,DUPLICATE,True,22772438308907,22772502600742,22772511197182,22772631536988,22772648863258,22772652798826
71,213,213,11.540769,83.401656,58.762216,30.141966,7.074779,190.921386,1,DUPLICATE|DUPLICATE|STALE|STALE,True,22772514141511,22772525682280,22772609083936,22772667846152,22772697988118,22772705062897
72,215,215,59.979467,34.74041,87.902785,49.852829,5.594897,238.070388,2,DUPLICATE|STALE|DUPLICATE,True,22772585661746,22772645641213,22772680381623,22772768284408,22772818137237,22772823732134
73,218,218,112.382807,11.776336,80.744801,50.531409,2.717484,258.152837,1,DUPLICATE,True,22772758024019,22772870406826,22772882183162,22772962927963,22773013459372,22773016176856
74,,,19.984819,17.885552,,,,,0,DUPLICATE|DUPLICATE|DUPLICATE,False,22772890391645,22772910376464,22772928262016,,,
75,,,41.151546,6.169884,51.431045,,,,1,,False,22772951528009,22772992679555,22772998849439,22773050280484,,
76,220,220,22.966695,27.346925,18.382167,1.886664,1.161268,71.743719,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22773015646250,22773038612945,22773065959870,22773084342037,22773086228701,22773087389969
77,224,224,61.579193,31.214882,61.825703,5.710287,0.73095,161.061015,2,DUPLICATE,True,22773100192137,22773161771330,22773192986212,22773254811915,22773260522202,22773261253152
78,226,226,44.50211,5.134097,75.818224,8.737218,0.810544,135.002193,1,DUPLICATE,True,22773206273439,22773250775549,22773255909646,22773331727870,22773340465088,22773341275632
79,228,228,41.075943,3.614603,53.751897,24.809664,21.246208,144.498315,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22773291851492,22773332927435,22773336542038,22773390293935,22773415103599,22773436349807
80,231,231,58.269175,28.347229,57.854004,5.290839,1.213047,150.974294,1,DUPLICATE|DUPLICATE,True,22773391196609,22773449465784,22773477813013,22773535667017,22773540957856,22773542170903
81,233,233,44.668065,24.578569,105.136386,17.768218,0.99636,193.147598,2,DUPLICATE|STALE|DUPLICATE|DUPLICATE|DUPLICATE,True,22773494133848,22773538801913,22773563380482,22773668516868,22773686285086,22773687281446
82,236,236,73.456334,27.747077,120.194415,28.673621,4.017032,254.088479,1,DUPLICATE,True,22773612258247,22773685714581,22773713461658,22773833656073,22773862329694,22773866346726
83,237,237,54.748887,23.375893,72.872774,10.014321,1.213584,162.225459,1,DUPLICATE|DUPLICATE,True,22773740463468,22773795212355,22773818588248,22773891461022,22773901475343,22773902688927
84,,,35.316573,28.504471,50.715299,,,,1,DUPLICATE,False,22773830528927,22773865845500,22773894349971,22773945065270,,
85,239,239,42.812753,3.352842,14.301079,2.455038,0.718358,63.64007,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22773908658253,22773951471006,22773954823848,22773969124927,22773971579965,22773972298323
86,243,243,47.095964,8.821664,53.661026,33.02786,66.681057,209.287571,2,,True,22773998566970,22774045662934,22774054484598,22774108145624,22774141173484,22774207854541
87,244,244,45.384182,13.057828,107.625351,7.933971,2.138091,176.139423,1,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22774091047115,22774136431297,22774149489125,22774257114476,22774265048447,22774267186538
88,246,246,56.403271,10.228231,81.480528,23.746044,1.97296,173.831034,1,,True,22774192834567,22774249237838,22774259466069,22774340946597,22774364692641,22774366665601
89,247,247,49.57166,8.369253,58.475694,5.502359,3.509955,125.428921,3,DUPLICATE,True,22774298809497,22774348381157,22774356750410,22774415226104,22774420728463,22774424238418
90,249,249,42.746031,25.124906,36.87852,5.844862,1.715996,112.310315,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|STALE,True,22774391127187,22774433873218,22774458998124,22774495876644,22774501721506,22774503437502
91,252,252,48.087213,2.795152,62.950712,30.33793,1.373937,145.544944,1,,True,22774481960430,22774530047643,22774532842795,22774595793507,22774626131437,22774627505374
92,253,253,48.299344,8.203622,37.974084,7.61234,3.010505,105.099895,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22774578346986,22774626646330,22774634849952,22774672824036,22774680436376,22774683446881
93,257,257,68.437562,10.404695,65.747735,40.250288,3.325064,188.165344,1,DUPLICATE|DUPLICATE,True,22774695083892,22774763521454,22774773926149,22774839673884,22774879924172,22774883249236
94,259,259,41.001998,4.437092,81.789234,29.990909,1.139158,158.358391,2,DUPLICATE|DUPLICATE,True,22774804523451,22774845525449,22774849962541,22774931751775,22774961742684,22774962881842
95,262,262,78.00626,23.937841,36.913743,36.186107,3.932587,178.976538,1,DUPLICATE|DUPLICATE|DUPLICATE,True,22774923531709,22775001537969,22775025475810,22775062389553,22775098575660,22775102508247
96,263,263,16.697209,34.74967,68.360385,24.634514,1.146472,145.58825,1,DUPLICATE|DUPLICATE,True,22775018235177,22775034932386,22775069682056,22775138042441,22775162676955,22775163823427
97,264,264,53.995251,5.347747,35.030412,35.175951,5.514489,135.06385,2,DUPLICATE,True,22775088927637,22775142922888,22775148270635,22775183301047,22775218476998,22775223991487
98,266,266,45.019253,25.181814,29.11242,13.021439,1.092916,113.427842,2,DUPLICATE|DUPLICATE,True,22775187942140,22775232961393,22775258143207,22775287255627,22775300277066,22775301369982
99,269,269,58.22485,10.951533,62.203261,8.652422,1.722458,141.754524,1,DUPLICATE,True,22775291186242,22775349411092,22775360362625,22775422565886,22775431218308,22775432940766
100,270,270,38.846258,10.090192,70.517514,6.34344,1.493346,127.29075,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22775388257350,22775427103608,22775437193800,22775507711314,22775514054754,22775515548100
101,274,274,57.808374,1.537586,121.911281,35.216414,0.739339,217.212994,1,DUPLICATE|DUPLICATE|STALE,True,22775484911982,22775542720356,22775544257942,22775666169223,22775701385637,22775702124976
102,275,275,58.795049,20.284312,81.040636,8.435512,0.869489,169.424998,1,DUPLICATE,True,22775601515404,22775660310453,22775680594765,22775761635401,22775770070913,22775770940402
103,277,277,49.233518,3.441509,74.799455,47.087158,5.685824,180.247464,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22775709543971,22775758777489,22775762218998,22775837018453,22775884105611,22775889791435
104,280,280,62.098946,47.949887,54.012454,46.433838,2.649836,213.144961,1,,True,22775820876434,22775882975380,22775930925267,22775984937721,22776031371559,22776034021395
105,281,281,28.933549,41.359037,90.477934,8.106584,1.626273,170.503377,1,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22775911908928,22775940842477,22775982201514,22776072679448,22776080786032,22776082412305
106,283,283,44.12119,41.236314,59.079106,33.017915,1.270307,178.724832,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22775984963666,22776029084856,22776070321170,22776129400276,22776162418191,22776163688498
107,286,286,65.845041,7.560061,84.28681,30.763433,1.499771,189.955116,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE,True,22776094929896,22776160774937,22776168334998,22776252621808,22776283385241,22776284885012
108,288,288,51.854437,31.554995,65.834624,8.667477,2.417149,160.328682,1,DUPLICATE,True,22776212629374,22776264483811,22776296038806,22776361873430,22776370540907,22776372958056
109,290,290,48.855959,6.794462,80.580113,11.322999,7.903249,155.456782,1,DUPLICATE,True,22776313339770,22776362195729,22776368990191,22776449570304,22776460893303,22776468796552
110,291,291,46.646793,0.717302,26.129507,41.190165,1.351271,116.035038,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE,True,22776408842522,22776455489315,22776456206617,22776482336124,22776523526289,22776524877560
111,293,293,37.13879,17.166324,68.317699,12.105931,2.750596,137.47934,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22776492628105,22776529766895,22776546933219,22776615250918,22776627356849,22776630107445
112,295,295,50.718632,31.377253,55.057259,6.088679,0.797025,144.038848,1,DUPLICATE,True,22776580485526,22776631204158,22776662581411,22776717638670,22776723727349,22776724524374
113,296,296,45.42045,40.071952,9.582948,9.081684,2.120462,106.277496,3,DUPLICATE|DUPLICATE|DUPLICATE,True,22776676624608,22776722045058,22776762117010,22776771699958,22776780781642,22776782902104
114,300,300,88.637891,5.686397,62.572764,32.771783,13.947446,203.616281,1,,True,22776810682949,22776899320840,22776905007237,22776967580001,22777000351784,22777014299230
115,301,301,34.245526,24.882979,32.783579,23.350114,21.281709,136.543907,1,DUPLICATE,True,22776933566366,22776967811892,22776992694871,22777025478450,22777048828564,22777070110273
116,302,302,34.626604,10.619234,46.602987,38.254197,8.417087,138.520109,1,DUPLICATE|DUPLICATE|DUPLICATE,True,22777002438495,22777037065099,22777047684333,22777094287320,22777132541517,22777140958604
117,304,304,49.354556,6.784851,39.987082,41.800633,1.385326,139.312448,2,DUPLICATE|DUPLICATE,True,22777086419654,22777135774210,22777142559061,22777182546143,22777224346776,22777225732102
118,305,305,67.678926,2.628632,8.052139,5.122782,2.085924,85.568403,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22777203453135,22777271132061,22777273760693,22777281812832,22777286935614,22777289021538
119,309,309,33.352195,7.168077,70.092324,27.551259,2.078999,140.242854,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE,True,22777304484255,22777337836450,22777345004527,22777415096851,22777442648110,22777444727109
120,314,314,54.878526,18.58902,181.079331,37.279504,2.119443,293.945824,1,STALE|DUPLICATE,True,22777392714976,22777447593502,22777466182522,22777647261853,22777684541357,22777686660800
121,,,97.240377,16.558671,,,,,0,DUPLICATE,False,22777544833878,22777642074255,22777658632926,,,
122,316,316,14.189976,7.87962,47.639884,23.768525,0.750117,94.228122,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22777656264230,22777670454206,22777678333826,22777725973710,22777749742235,22777750492352
123,319,319,37.769842,29.91413,61.744257,48.039221,5.768713,183.236163,1,,True,22777708224048,22777745993890,22777775908020,22777837652277,22777885691498,22777891460211
124,320,320,58.487786,9.08974,17.321677,47.689422,6.70198,139.290605,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22777804481676,22777862969462,22777872059202,22777889380879,22777937070301,22777943772281
125,322,322,50.14146,13.734648,39.746987,9.974655,0.36078,113.95853,1,DUPLICATE,True,22777913110922,22777963252382,22777976987030,22778016734017,22778026708672,22778027069452
126,323,323,31.444828,4.342776,50.750595,7.390855,1.073398,95.002452,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22777994697209,22778026142037,22778030484813,22778081235408,22778088626263,22778089699661
127,328,328,64.075749,16.553485,88.990013,26.29312,2.437945,198.350312,1,DUPLICATE|DUPLICATE|DUPLICATE,True,22778090217785,22778154293534,22778170847019,22778259837032,22778286130152,22778288568097
128,329,329,55.422493,9.05048,12.259358,36.701296,1.4529,114.886527,2,,True,22778209716027,22778265138520,22778274189000,22778286448358,22778323149654,22778324602554
129,330,330,33.856523,29.747462,16.439929,2.592225,0.626745,83.262884,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22778298995042,22778332851565,22778362599027,22778379038956,22778381631181,22778382257926
130,334,334,59.730361,3.91018,44.870584,31.249122,4.667186,144.427433,1,DUPLICATE|DUPLICATE,True,22778392581926,22778452312287,22778456222467,22778501093051,22778532342173,22778537009359
131,335,335,36.182459,2.976579,47.118973,10.538862,1.019435,97.836308,2,DUPLICATE|DUPLICATE,True,22778488494745,22778524677204,22778527653783,22778574772756,22778585311618,22778586331053
132,338,338,62.773867,0.717006,31.866275,18.89993,0.571875,114.828953,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22778587451071,22778650224938,22778650941944,22778682808219,22778701708149,22778702280024
133,341,341,41.724948,32.747412,54.892164,2.827949,0.722043,132.914516,1,,True,22778691949885,22778733674833,22778766422245,22778821314409,22778824142358,22778824864401
134,342,342,42.707437,1.529457,57.365314,30.519857,7.639302,139.761367,2,DUPLICATE|DUPLICATE,True,22778776382269,22778819089706,22778820619163,22778877984477,22778908504334,22778916143636
135,344,344,57.520482,11.220628,53.859915,5.460933,0.561801,128.623759,2,DUPLICATE|DUPLICATE,True,22778876610188,22778934130670,22778945351298,22778999211213,22779004672146,22779005233947
136,347,347,51.258182,13.761648,52.117198,40.272899,3.19847,160.608397,1,DUPLICATE,True,22778985388851,22779036647033,22779050408681,22779102525879,22779142798778,22779145997248
137,348,348,44.129949,19.34486,21.978954,17.762773,4.365295,107.581831,3,DUPLICATE|DUPLICATE|DUPLICATE,True,22779080776981,22779124906930,22779144251790,22779166230744,22779183993517,22779188358812
138,351,351,53.03915,8.375364,52.459607,14.297301,10.305805,138.477227,2,DUPLICATE|DUPLICATE,True,22779177946079,22779230985229,22779239360593,22779291820200,22779306117501,22779316423306
139,352,352,47.318724,31.917165,20.900742,6.570294,8.318586,115.025511,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE,True,22779278303952,22779325622676,22779357539841,22779378440583,22779385010877,22779393329463
140,356,356,58.62926,13.294607,129.910195,19.938216,3.097136,224.869414,2,DUPLICATE,True,22779384251935,22779442881195,22779456175802,22779586085997,22779606024213,22779609121349
141,357,357,73.129358,20.42248,41.629539,15.146399,1.001101,151.328877,1,,True,22779516010552,22779589139910,22779609562390,22779651191929,22779666338328,22779667339429
142,358,358,31.105686,2.640947,16.520596,50.78002,2.510965,103.558214,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22779620245596,22779651351282,22779653992229,22779670512825,22779721292845,22779723803810
143,361,361,50.447869,10.977237,99.184503,2.055942,3.604973,166.270524,2,DUPLICATE|STALE,True,22779701799151,22779752247020,22779763224257,22779862408760,22779864464702,22779868069675
144,363,363,50.571871,9.449132,113.45008,4.599482,1.019971,179.090536,1,DUPLICATE|DUPLICATE|DUPLICATE|STALE,True,22779802818890,22779853390761,22779862839893,22779976289973,22779980889455,22779981909426
145,365,365,60.622572,10.856754,68.697998,39.913914,7.589487,187.680725,1,,True,22779914013332,22779974635904,22779985492658,22780054190656,22780094104570,22780101694057
146,366,366,41.321954,11.847706,34.502593,38.241715,1.210473,127.124441,2,DUPLICATE|DUPLICATE,True,22780015957857,22780057279811,22780069127517,22780103630110,22780141871825,22780143082298
147,369,369,44.706332,17.449048,84.476106,11.99343,0.813285,159.438201,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22780101986143,22780146692475,22780164141523,22780248617629,22780260611059,22780261424344
148,371,371,54.46905,15.538273,68.679423,20.965132,9.568929,169.220807,1,,True,22780201161525,22780255630575,22780271168848,22780339848271,22780360813403,22780370382332
