revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
1,71,71,37.37084,9.976914,34.478391,2.495428,0.353799,84.675372,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22765757976380,22765795347220,22765805324134,22765839802525,22765842297953,22765842651752
2,76,76,41.089111,12.271452,51.145655,4.553648,1.232159,110.292025,2,DUPLICATE|DUPLICATE,True,22765836436331,22765877525442,22765889796894,22765940942549,22765945496197,22765946728356
3,77,77,28.443916,9.757783,26.828014,9.159908,0.564467,74.754088,3,DUPLICATE,True,22765905969358,22765934413274,22765944171057,22765970999071,22765980158979,22765980723446
4,79,79,33.692755,7.526894,19.926903,62.439803,1.673124,125.259479,1,DUPLICATE,True,22765968106029,22766001798784,22766009325678,22766029252581,22766091692384,22766093365508
5,80,80,32.577839,7.168484,31.195549,14.999437,2.477223,88.418532,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22766034376622,22766066954461,22766074122945,22766105318494,22766120317931,22766122795154
6,82,82,39.523932,8.234437,18.268037,13.34709,1.952034,81.32553,3,DUPLICATE|DUPLICATE|DUPLICATE,True,22766106478392,22766146002324,22766154236761,22766172504798,22766185851888,22766187803922
7,85,85,32.553051,2.332649,42.108008,5.741898,3.007728,85.743334,3,DUPLICATE,True,22766178555375,22766211108426,22766213441075,22766255549083,22766261290981,22766264298709
8,86,86,37.155894,4.339406,12.808659,1.755514,0.832859,56.892332,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22766248264320,22766285420214,22766289759620,22766302568279,22766304323793,22766305156652
9,90,90,37.007791,12.99379,22.054957,5.840492,0.594523,78.491553,3,DUPLICATE|DUPLICATE|DUPLICATE,True,22766322428005,22766359435796,22766372429586,22766394484543,22766400325035,22766400919558
10,92,92,38.784407,3.508528,12.099728,41.207612,1.735181,97.335456,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22766398220203,22766437004610,22766440513138,22766452612866,22766493820478,22766495555659
11,97,97,46.991483,8.588199,82.513373,4.660926,1.143861,143.897842,2,,True,22766483996093,22766530987576,22766539575775,22766622089148,22766626750074,22766627893935
12,98,98,42.076304,10.130527,34.315093,7.015575,0.904267,94.441766,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22766573063880,22766615140184,22766625270711,22766659585804,22766666601379,22766667505646
13,101,101,55.887777,6.630276,50.241352,4.466481,1.105231,118.331117,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22766671027961,22766726915738,22766733546014,22766783787366,22766788253847,22766789359078
14,104,104,42.873302,7.96975,32.341336,30.405376,5.656806,119.24657,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,22766769789039,22766812662341,22766820632091,22766852973427,22766883378803,22766889035609
15,,,53.380267,30.703786,21.179579,,,,1,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE,False,22766866042607,22766919422874,22766950126660,22766971306239,,
16,107,107,44.919429,6.810129,42.75381,7.016742,0.541263,102.041373,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|STALE,True,22766964342303,22767009261732,22767016071861,22767058825671,22767065842413,22767066383676
17,111,111,65.446892,19.524362,58.987645,4.228442,3.050136,151.237477,1,DUPLICATE,True,22767074708623,22767140155515,22767159679877,22767218667522,22767222895964,22767225946100
18,112,112,41.957609,6.259662,29.609296,6.760851,1.961145,86.548563,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22767182113123,22767224070732,22767230330394,22767259939690,22767266700541,22767268661686
19,116,116,57.255011,0.526615,112.012093,10.268065,4.346647,184.408431,1,DUPLICATE|DUPLICATE,True,22767281325742,22767338580753,22767339107368,22767451119461,22767461387526,22767465734173
20,118,118,59.905227,5.42021,76.678233,41.037536,1.591624,184.63283,2,DUPLICATE|DUPLICATE|DUPLICATE,True,22767398485979,22767458391206,22767463811416,22767540489649,22767581527185,22767583118809
21,,,57.83371,12.755696,108.336655,,,,1,DUPLICATE,False,22767516224915,22767574058625,22767586814321,22767695150976,,
22,120,120,48.865415,10.315028,43.4185,5.261116,12.702474,120.562533,1,DUPLICATE,True,22767622924039,22767671789454,22767682104482,22767725522982,22767730784098,22767743486572
23,121,121,36.15921,6.200532,46.991233,11.137738,4.073737,104.56245,2,DUPLICATE|DUPLICATE,True,22767707948663,22767744107873,22767750308405,22767797299638,22767808437376,22767812511113
