revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
1,69,69,37.69432,6.655821,7.14562,2.241292,0.618319,54.355372,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24840535485563,24840573179883,24840579835704,24840586981324,24840589222616,24840589840935
2,73,73,34.331121,6.342764,37.611004,2.756351,0.726042,81.767282,3,DUPLICATE|DUPLICATE|DUPLICATE,True,24840607511004,24840641842125,24840648184889,24840685795893,24840688552244,24840689278286
3,76,76,36.857092,0.5878,32.495434,5.643259,0.777153,76.360738,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24840678699216,24840715556308,24840716144108,24840748639542,24840754282801,24840755059954
4,78,78,32.033403,4.565529,24.085787,3.130538,0.51117,64.326427,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24840747589711,24840779623114,24840784188643,24840808274430,24840811404968,24840811916138
5,82,82,38.746909,8.453537,23.635616,3.236559,1.518509,75.59113,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24840818370023,24840857116932,24840865570469,24840889206085,24840892442644,24840893961153
6,85,85,30.285994,9.235152,46.509784,0.496596,1.247305,87.774831,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24840887402925,24840917688919,24840926924071,24840973433855,24840973930451,24840975177756
7,88,88,40.458495,8.405314,18.31436,5.450554,0.745893,73.374616,3,DUPLICATE|DUPLICATE|DUPLICATE,True,24840958147413,24840998605908,24841007011222,24841025325582,24841030776136,24841031522029
8,91,91,39.103866,3.619523,13.416161,13.0889,2.456572,71.685022,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24841037709773,24841076813639,24841080433162,24841093849323,24841106938223,24841109394795
9,93,93,35.36248,11.794818,7.111916,2.056199,0.647097,56.97251,5,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24841112176118,24841147538598,24841159333416,24841166445332,24841168501531,24841169148628
10,100,100,51.817041,23.350577,44.905551,32.778584,3.049853,155.901606,2,DUPLICATE|DUPLICATE|DUPLICATE,True,24841199355639,24841251172680,24841274523257,24841319428808,24841352207392,24841355257245
11,101,101,51.093962,12.090523,35.171933,6.005094,1.907587,106.269099,2,DUPLICATE|DUPLICATE|DUPLICATE,True,24841302266641,24841353360603,24841365451126,24841400623059,24841406628153,24841408535740
12,104,104,37.540254,36.160457,12.146449,15.321118,16.388163,117.556441,3,DUPLICATE|DUPLICATE,True,24841390900856,24841428441110,24841464601567,24841476748016,24841492069134,24841508457297
13,107,107,61.914366,26.17117,43.81434,4.292102,1.201619,137.393597,1,DUPLICATE,True,24841490355475,24841552269841,24841578441011,24841622255351,24841626547453,24841627749072
14,108,108,35.689445,28.655223,8.637334,8.611167,0.996043,82.589212,3,DUPLICATE|DUPLICATE|DUPLICATE,True,24841587959286,24841623648731,24841652303954,24841660941288,24841669552455,24841670548498
15,111,111,47.529883,11.515278,75.503695,7.753772,0.493411,142.796039,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24841671178614,24841718708497,24841730223775,24841805727470,24841813481242,24841813974653
16,113,113,68.399593,12.316414,38.806771,4.761605,1.868012,126.152395,2,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24841787108089,24841855507682,24841867824096,24841906630867,24841911392472,24841913260484
17,116,116,45.974105,28.028182,35.529546,65.049905,0.755467,175.337205,3,DUPLICATE|DUPLICATE|STALE|DUPLICATE,True,24841901481786,24841947455891,24841975484073,24842011013619,24842076063524,24842076818991
18,,,,,,,,,0,DUPLICATE,False,,,,,,
19,120,120,2.009402,17.362076,65.994133,34.967412,2.511332,122.844355,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE,True,24842132286222,24842134295624,24842151657700,24842217651833,24842252619245,24842255130577
20,121,121,54.711013,7.516068,59.104366,18.450879,1.870345,141.652671,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,24842189006637,24842243717650,24842251233718,24842310338084,24842328788963,24842330659308
21,,,66.006485,15.4811,96.099477,,,,1,DUPLICATE,False,24842309724135,24842375730620,24842391211720,24842487311197,,
22,126,126,56.873694,3.385244,48.826929,6.078188,0.770134,115.934189,1,DUPLICATE|DUPLICATE,True,24842432604313,24842489478007,24842492863251,24842541690180,24842547768368,24842548538502
23,128,128,27.67143,0.920543,45.038682,30.920108,4.232565,108.783328,3,DUPLICATE|DUPLICATE|DUPLICATE,True,24842517149437,24842544820867,24842545741410,24842590780092,24842621700200,24842625932765
