revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
44,171,171,18.5719,10.260877,65.060876,4.297971,1.342082,99.533706,2,DUPLICATE|DUPLICATE,True,26594143852700,26594162424600,26594172685477,26594237746353,26594242044324,26594243386406
45,173,173,38.989616,34.404154,45.888593,4.868418,0.833376,124.984157,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26594201414216,26594240403832,26594274807986,26594320696579,26594325564997,26594326398373
46,176,176,69.994546,2.578941,95.339486,6.342743,8.711756,182.967472,2,DUPLICATE,True,26594310398377,26594380392923,26594382971864,26594478311350,26594484654093,26594493365849
47,177,177,49.158048,4.36149,88.243424,14.25292,0.481855,156.497737,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE|STALE|STALE,True,26594429550971,26594478709019,26594483070509,26594571313933,26594585566853,26594586048708
48,178,178,51.902167,43.195299,16.19121,8.850461,1.851067,121.990204,2,DUPLICATE|DUPLICATE|DUPLICATE,True,26594530611186,26594582513353,26594625708652,26594641899862,26594650750323,26594652601390
49,180,180,32.622189,36.767723,25.076689,47.716752,9.906653,152.090006,2,DUPLICATE,True,26594615135542,26594647757731,26594684525454,26594709602143,26594757318895,26594767225548
50,182,182,62.704205,24.739761,49.620783,17.393476,10.008857,164.467082,2,DUPLICATE,True,26594710461935,26594773166140,26594797905901,26594847526684,26594864920160,26594874929017
51,183,183,38.786828,8.347032,78.681274,37.431745,2.553108,165.799987,4,DUPLICATE|DUPLICATE|STALE|DUPLICATE,True,26594811952968,26594850739796,26594859086828,26594937768102,26594975199847,26594977752955
52,187,187,88.30799,46.032705,66.973703,8.419681,6.991764,216.725843,1,DUPLICATE,True,26594939047785,26595027355775,26595073388480,26595140362183,26595148781864,26595155773628
53,,,45.070681,12.568946,,,,,0,DUPLICATE,False,26595072426456,26595117497137,26595130066083,,,
54,189,189,15.721503,3.763745,66.600145,2.529294,0.555762,89.170449,4,DUPLICATE|DUPLICATE|DUPLICATE,True,26595133218639,26595148940142,26595152703887,26595219304032,26595221833326,26595222389088
55,191,191,45.859316,4.8674,50.379213,5.877425,0.843079,107.826433,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE|STALE,True,26595194799457,26595240658773,26595245526173,26595295905386,26595301782811,26595302625890
56,196,196,54.72049,30.073979,81.688607,18.595594,2.883518,187.962188,2,DUPLICATE|DUPLICATE,True,26595295379262,26595350099752,26595380173731,26595461862338,26595480457932,26595483341450
57,199,199,63.554247,11.106623,93.022527,5.672423,0.467022,173.822842,2,DUPLICATE,True,26595413653999,26595477208246,26595488314869,26595581337396,26595587009819,26595587476841
58,201,201,52.504652,49.871284,52.271447,6.856819,0.686189,162.190391,1,DUPLICATE,True,26595529712898,26595582217550,26595632088834,26595684360281,26595691217100,26595691903289
59,202,202,52.514958,0.45978,39.959947,16.429192,3.965135,113.329012,3,DUPLICATE|DUPLICATE,True,26595634732507,26595687247465,26595687707245,26595727667192,26595744096384,26595748061519
60,204,204,47.719503,11.87585,50.495954,13.729306,5.842054,129.662667,1,,True,26595734966967,26595782686470,26595794562320,26595845058274,26595858787580,26595864629634
61,205,205,34.814656,3.666671,38.029064,33.00783,5.312439,114.83066,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26595817501125,26595852315781,26595855982452,26595894011516,26595927019346,26595932331785
62,208,208,61.433244,9.299778,86.87725,33.112127,5.77485,196.497249,2,DUPLICATE|DUPLICATE,True,26595913749024,26595975182268,26595984482046,26596071359296,26596104471423,26596110246273
64,210,210,4.084331,9.124148,24.116943,36.917261,3.483039,77.725722,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE|STALE,True,26596147984251,26596152068582,26596161192730,26596185309673,26596222226934,26596225709973
65,212,212,68.589833,18.695947,13.626453,7.403007,3.674486,111.989726,1,,True,26596220658415,26596289248248,26596307944195,26596321570648,26596328973655,26596332648141
66,213,213,20.23629,3.466095,39.023051,9.727208,4.032931,76.485575,5,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26596309484537,26596329720827,26596333186922,26596372209973,26596381937181,26596385970112
67,217,217,56.743965,40.169799,93.858533,6.118241,2.044753,198.935291,2,DUPLICATE,True,26596386464791,26596443208756,26596483378555,26596577237088,26596583355329,26596585400082
68,219,219,63.915083,6.637651,49.238929,83.709415,4.548157,208.049235,2,DUPLICATE|DUPLICATE,True,26596507123838,26596571038921,26596577676572,26596626915501,26596710624916,26596715173073
69,220,220,71.135154,1.217914,28.512173,33.357629,6.273223,140.496093,3,DUPLICATE|DUPLICATE,True,26596642174075,26596713309229,26596714527143,26596743039316,26596776396945,26596782670168
70,223,223,51.116431,3.102593,61.242575,8.693442,37.842174,161.997215,1,DUPLICATE|DUPLICATE|DUPLICATE,True,26596764425659,26596815542090,26596818644683,26596879887258,26596888580700,26596926422874
71,224,224,32.662402,17.324105,80.555674,9.519909,2.667943,142.730033,1,DUPLICATE,True,26596848204492,26596880866894,26596898190999,26596978746673,26596988266582,26596990934525
72,226,226,49.089659,2.166198,78.734274,45.044996,0.887375,175.922502,2,DUPLICATE|DUPLICATE|DUPLICATE,True,26596929956553,26596979046212,26596981212410,26597059946684,26597104991680,26597105879055
73,228,228,60.989102,36.251201,78.177401,29.866348,0.82806,206.112112,1,,True,26597040035313,26597101024415,26597137275616,26597215453017,26597245319365,26597246147425
74,,,41.445844,15.620576,50.384695,,,,1,DUPLICATE|STALE|STALE,False,26597142470259,26597183916103,26597199536679,26597249921374,,
75,229,229,33.520759,4.142988,43.389226,5.164198,1.46688,87.684051,2,DUPLICATE|DUPLICATE|DUPLICATE,True,26597217436862,26597250957621,26597255100609,26597298489835,26597303654033,26597305120913
76,233,233,54.436794,12.369334,53.971753,46.364041,3.61767,170.759592,3,DUPLICATE|DUPLICATE,True,26597305394414,26597359831208,26597372200542,26597426172295,26597472536336,26597476154006
77,236,236,56.42412,59.598547,19.259839,40.623358,2.024919,177.930783,2,DUPLICATE,True,26597416255328,26597472679448,26597532277995,26597551537834,26597592161192,26597594186111
78,238,238,38.968339,55.243761,50.44188,49.835154,2.491904,196.981038,1,,True,26597511647786,26597550616125,26597605859886,26597656301766,26597706136920,26597708628824
79,239,239,49.818914,1.129081,50.022673,45.929946,4.885826,151.78644,3,DUPLICATE,True,26597600435038,26597650253952,26597651383033,26597701405706,26597747335652,26597752221478
