revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
1,63,63,35.038166,1.262396,17.048497,3.812501,1.065006,58.226566,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27440775147273,27440810185439,27440811447835,27440828496332,27440832308833,27440833373839
2,67,67,35.959402,8.912602,27.562645,12.99168,0.740467,86.166796,3,DUPLICATE|DUPLICATE|DUPLICATE,True,27440846144841,27440882104243,27440891016845,27440918579490,27440931571170,27440932311637
3,69,69,34.101226,3.761946,19.402546,0.940894,0.955801,59.162413,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27440916205468,27440950306694,27440954068640,27440973471186,27440974412080,27440975367881
4,72,72,31.956529,11.819025,3.529297,10.97652,2.217938,60.499309,3,DUPLICATE|DUPLICATE|DUPLICATE,True,27440982263223,27441014219752,27441026038777,27441029568074,27441040544594,27441042762532
5,75,75,33.803724,2.128252,26.933049,1.532897,1.067357,65.465279,4,DUPLICATE|DUPLICATE|DUPLICATE,True,27441048023476,27441081827200,27441083955452,27441110888501,27441112421398,27441113488755
6,78,78,34.4267,12.58727,7.177945,1.186173,0.874282,56.25237,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27441116253899,27441150680599,27441163267869,27441170445814,27441171631987,27441172506269
7,81,81,42.554261,23.820885,37.981014,19.933401,6.621054,130.910615,2,,True,27441193234859,27441235789120,27441259610005,27441297591019,27441317524420,27441324145474
8,82,82,41.947952,4.930878,15.380414,27.059846,1.621138,90.940228,2,DUPLICATE|DUPLICATE,True,27441277737072,27441319685024,27441324615902,27441339996316,27441367056162,27441368677300
9,84,84,39.799071,1.534138,26.978401,37.26414,5.206435,110.782185,2,,True,27441359484094,27441399283165,27441400817303,27441427795704,27441465059844,27441470266279
10,85,85,37.370687,10.443962,22.454044,9.937923,1.706602,81.913218,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27441436653852,27441474024539,27441484468501,27441506922545,27441516860468,27441518567070
11,88,88,45.891001,7.941171,75.931177,6.884962,5.040249,141.68856,2,,True,27441519915539,27441565806540,27441573747711,27441649678888,27441656563850,27441661604099
12,89,89,44.800458,5.416436,45.721426,8.801194,1.96877,106.708284,5,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27441610606997,27441655407455,27441660823891,27441706545317,27441715346511,27441717315281
13,92,92,47.842872,8.026894,47.867104,4.739358,1.819158,110.295386,4,DUPLICATE|DUPLICATE|DUPLICATE,True,27441703250327,27441751093199,27441759120093,27441806987197,27441811726555,27441813545713
14,95,95,41.162096,15.25408,41.094439,3.506518,1.572064,102.589197,5,DUPLICATE|DUPLICATE|DUPLICATE,True,27441792255295,27441833417391,27441848671471,27441889765910,27441893272428,27441894844492
15,99,99,48.953295,12.033452,43.431673,4.913044,1.277655,110.609119,5,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27441882370685,27441931323980,27441943357432,27441986789105,27441991702149,27441992979804
16,102,102,51.632207,1.457156,92.757598,3.786983,0.83856,150.472504,4,DUPLICATE|DUPLICATE,True,27441982956186,27442034588393,27442036045549,27442128803147,27442132590130,27442133428690
17,105,105,77.61889,1.213191,42.529057,7.158668,3.6375,132.157306,2,DUPLICATE|DUPLICATE|DUPLICATE,True,27442112207282,27442189826172,27442191039363,27442233568420,27442240727088,27442244364588
18,107,107,41.050966,1.401507,52.506887,12.947994,1.630786,109.53814,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27442230877138,27442271928104,27442273329611,27442325836498,27442338784492,27442340415278
19,110,110,47.834733,11.360338,43.269357,33.717937,2.926608,139.108973,3,DUPLICATE|DUPLICATE,True,27442319762836,27442367597569,27442378957907,27442422227264,27442455945201,27442458871809
20,112,112,63.978003,7.127038,16.051344,45.172293,8.437396,140.766074,2,DUPLICATE,True,27442431575572,27442495553575,27442502680613,27442518731957,27442563904250,27442572341646
21,114,114,39.468338,31.220812,70.272555,33.420953,2.075011,176.457669,2,DUPLICATE|DUPLICATE|DUPLICATE|STALE|STALE,True,27442535021912,27442574490250,27442605711062,27442675983617,27442709404570,27442711479581
22,116,116,72.933041,4.339116,106.019872,5.763789,2.743033,191.798851,2,DUPLICATE|DUPLICATE,True,27442647423290,27442720356331,27442724695447,27442830715319,27442836479108,27442839222141
23,118,118,52.745722,8.521859,83.926886,52.73237,1.732509,199.659346,1,DUPLICATE|STALE,True,27442773102053,27442825847775,27442834369634,27442918296520,27442971028890,27442972761399
24,119,119,44.782411,1.083488,48.642552,127.101279,5.596529,227.206259,2,,True,27442870630186,27442915412597,27442916496085,27442965138637,27443092239916,27443097836445
25,120,120,90.050742,4.312949,14.752726,62.476476,6.364349,177.957242,1,DUPLICATE,True,27443005463339,27443095514081,27443099827030,27443114579756,27443177056232,27443183420581
26,121,121,25.382689,3.729724,47.115247,46.057205,4.268116,126.552981,4,DUPLICATE,True,27443120896770,27443146279459,27443150009183,27443197124430,27443243181635,27443247449751
27,123,123,71.391098,8.003246,75.542101,11.807451,4.289004,171.0329,1,DUPLICATE,True,27443217670556,27443289061654,27443297064900,27443372607001,27443384414452,27443388703456
28,124,124,45.504953,1.960955,84.907946,10.590741,2.594903,145.559498,2,DUPLICATE,True,27443334566606,27443380071559,27443382032514,27443466940460,27443477531201,27443480126104
29,,,45.165941,0.782838,69.10053,,,,1,DUPLICATE|STALE|STALE,False,27443425237500,27443470403441,27443471186279,27443540286809,,
30,126,126,22.922288,1.66036,72.193695,8.662675,1.732139,107.171157,1,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,27443493325728,27443516248016,27443517908376,27443590102071,27443598764746,27443600496885
31,128,128,39.915682,13.551905,93.544899,56.327555,0.524281,203.864322,2,DUPLICATE,True,27443556163698,27443596079380,27443609631285,27443703176184,27443759503739,27443760028020
32,,,41.595423,24.316646,80.962111,,,,1,,False,27443637674802,27443679270225,27443703586871,27443784548982,,
33,129,129,51.159214,8.831065,82.319729,13.758998,5.042767,161.111773,1,DUPLICATE|DUPLICATE,True,27443730429438,27443781588652,27443790419717,27443872739446,27443886498444,27443891541211
34,131,131,51.846467,6.702294,56.628613,36.811212,2.662662,154.651248,2,DUPLICATE|DUPLICATE,True,27443833435119,27443885281586,27443891983880,27443948612493,27443985423705,27443988086367
35,133,133,58.602169,9.805163,69.404069,13.072661,3.977002,154.861064,5,DUPLICATE|DUPLICATE,True,27443943883755,27444002485924,27444012291087,27444081695156,27444094767817,27444098744819
36,,,72.570845,53.651616,38.360053,,,,1,DUPLICATE|DUPLICATE|STALE|STALE,False,27444075056768,27444147627613,27444201279229,27444239639282,,
37,,,39.861886,0.774097,42.833688,,,,1,,False,27444187489498,27444227351384,27444228125481,27444270959169,,
38,136,136,11.680266,37.326789,22.542081,3.687705,1.750027,76.986868,3,DUPLICATE|DUPLICATE,True,27444239031649,27444250711915,27444288038704,27444310580785,27444314268490,27444316018517
39,139,139,60.429716,32.679523,38.806112,46.403336,12.939013,191.2577,2,,True,27444311141631,27444371571347,27444404250870,27444443056982,27444489460318,27444502399331
40,140,140,47.600028,33.330971,68.463305,3.874502,1.175265,154.444071,1,DUPLICATE,True,27444419171375,27444466771403,27444500102374,27444568565679,27444572440181,27444573615446
41,,,51.446169,8.649101,92.002392,,,,1,,False,27444518217571,27444569663740,27444578312841,27444670315233,,
42,142,142,53.498004,1.482675,12.597011,1.987047,1.23771,70.802447,3,DUPLICATE|DUPLICATE|DUPLICATE,True,27444623161743,27444676659747,27444678142422,27444690739433,27444692726480,27444693964190
43,146,146,58.169612,12.797512,29.498266,65.241955,2.493013,168.200358,3,,True,27444734829358,27444792998970,27444805796482,27444835294748,27444900536703,27444903029716
44,147,147,54.005183,52.706018,13.581478,20.997796,1.745713,143.036188,2,,True,27444847004152,27444901009335,27444953715353,27444967296831,27444988294627,27444990040340
45,148,148,42.911985,22.396174,31.528536,1.945695,2.75833,101.54072,3,DUPLICATE|DUPLICATE,True,27444943921319,27444986833304,27445009229478,27445040758014,27445042703709,27445045462039
46,151,151,52.625351,14.26176,137.41526,9.469105,3.097387,216.868863,2,,True,27445039458655,27445092084006,27445106345766,27445243761026,27445253230131,27445256327518
47,,,76.076697,5.958291,15.721416,,,,1,,False,27445168160702,27445244237399,27445250195690,27445265917106,,
48,,,13.254135,1.489638,152.704858,,,,1,,False,27445257491533,27445270745668,27445272235306,27445424940164,,
49,,,77.529464,1.929047,19.193045,,,,2,,False,27445348275131,27445425804595,27445427733642,27445446926687,,
50,,,13.300172,2.288624,91.745667,,,,5,,False,27445439104766,27445452404938,27445454693562,27445546439229,,
51,,,50.293672,6.135829,,,,,0,,False,27445502698610,27445552992282,27445559128111,,,
52,,,49.063073,5.02636,,,,,0,,False,27445602055355,27445651118428,27445656144788,,,
53,,,50.228931,7.109352,,,,,0,,False,27445701347359,27445751576290,27445758685642,,,
54,,,48.897952,4.055373,,,,,0,,False,27445800474241,27445849372193,27445853427566,,,
55,,,49.026212,1.523138,,,,,0,,False,27445898398404,27445947424616,27445948947754,,,
