timestamp,throttled,ext5v,temp_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz
2026-07-15T12:10:25.586,throttled=0x0,EXT5V_V volt(24)=4.94326000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:26.590,throttled=0x0,EXT5V_V volt(24)=4.92048000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:27.589,throttled=0x0,EXT5V_V volt(24)=4.90976000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:28.586,throttled=0x0,EXT5V_V volt(24)=4.90976000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:29.585,throttled=0x0,EXT5V_V volt(24)=4.95532000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:30.586,throttled=0x0,EXT5V_V volt(24)=4.94058000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:31.593,throttled=0x0,EXT5V_V volt(24)=4.94192000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:32.588,throttled=0x0,EXT5V_V volt(24)=4.94326000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:33.589,throttled=0x0,EXT5V_V volt(24)=4.95264000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:34.590,throttled=0x0,EXT5V_V volt(24)=4.94594000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:35.588,throttled=0x0,EXT5V_V volt(24)=4.90842000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:36.599,throttled=0x0,EXT5V_V volt(24)=4.88832000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:37.592,throttled=0x0,EXT5V_V volt(24)=4.86554000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:38.594,throttled=0x0,EXT5V_V volt(24)=4.86688000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:39.595,throttled=0x0,EXT5V_V volt(24)=4.83740000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:40.592,throttled=0x0,EXT5V_V volt(24)=4.88832000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:41.593,throttled=0x0,EXT5V_V volt(24)=4.90976000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:42.595,throttled=0x0,EXT5V_V volt(24)=4.85482000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:43.595,throttled=0x0,EXT5V_V volt(24)=4.89502000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:44.593,throttled=0x0,EXT5V_V volt(24)=4.91512000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:45.592,throttled=0x0,EXT5V_V volt(24)=4.91914000V,57.85,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:46.594,throttled=0x0,EXT5V_V volt(24)=4.89368000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:47.595,throttled=0x0,EXT5V_V volt(24)=4.90976000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:48.597,throttled=0x0,EXT5V_V volt(24)=4.86688000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:49.597,throttled=0x0,EXT5V_V volt(24)=4.87090000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:50.601,throttled=0x0,EXT5V_V volt(24)=4.89770000V,59.5,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:51.594,throttled=0x0,EXT5V_V volt(24)=4.94594000V,57.85,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:52.596,throttled=0x0,EXT5V_V volt(24)=4.90708000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:53.605,throttled=0x0,EXT5V_V volt(24)=4.84008000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:54.596,throttled=0x0,EXT5V_V volt(24)=4.87626000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:55.595,throttled=0x0,EXT5V_V volt(24)=4.89234000V,57.85,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:56.599,throttled=0x0,EXT5V_V volt(24)=4.86420000V,57.85,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:57.598,throttled=0x0,EXT5V_V volt(24)=4.88698000V,57.85,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:58.601,throttled=0x0,EXT5V_V volt(24)=4.86688000V,57.85,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:10:59.602,throttled=0x0,EXT5V_V volt(24)=4.92852000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:00.610,throttled=0x0,EXT5V_V volt(24)=4.87492000V,60.05,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:01.608,throttled=0x0,EXT5V_V volt(24)=4.89904000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:02.607,throttled=0x0,EXT5V_V volt(24)=4.84812000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:03.706,throttled=0x0,EXT5V_V volt(24)=4.91780000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:04.605,throttled=0x0,EXT5V_V volt(24)=4.87760000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:05.606,throttled=0x0,EXT5V_V volt(24)=4.80122000V,60.05,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:06.605,throttled=0x0,EXT5V_V volt(24)=4.84544000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:07.607,throttled=0x0,EXT5V_V volt(24)=4.87224000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:08.606,throttled=0x0,EXT5V_V volt(24)=4.86688000V,58.95,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:09.606,throttled=0x0,EXT5V_V volt(24)=4.87760000V,60.6,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:10.607,throttled=0x0,EXT5V_V volt(24)=4.84544000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:11.611,throttled=0x0,EXT5V_V volt(24)=4.91110000V,59.5,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:12.611,throttled=0x0,EXT5V_V volt(24)=4.87358000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:13.606,throttled=0x0,EXT5V_V volt(24)=4.89368000V,59.5,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:14.608,throttled=0x0,EXT5V_V volt(24)=4.87224000V,59.5,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:15.615,throttled=0x0,EXT5V_V volt(24)=4.89904000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:16.610,throttled=0x0,EXT5V_V volt(24)=4.90842000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:17.609,throttled=0x0,EXT5V_V volt(24)=4.93924000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:18.609,throttled=0x0,EXT5V_V volt(24)=4.94058000V,58.4,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:19.611,throttled=0x0,EXT5V_V volt(24)=4.90306000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:20.609,throttled=0x0,EXT5V_V volt(24)=4.92986000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:21.608,throttled=0x0,EXT5V_V volt(24)=4.90842000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:22.609,throttled=0x0,EXT5V_V volt(24)=4.95130000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:23.608,throttled=0x0,EXT5V_V volt(24)=4.97542000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T12:11:24.611,throttled=0x0,EXT5V_V volt(24)=4.97542000V,55.1,2400.0,2400.0,2400.0,2400.0
